# Logfile created on 2025-11-10 12:06:47 +0900 by logger.rb/v1.5.3
2025-11-10 12:06:47 +0900: Memory Usage (435076K) : metal4_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435204K) : heattrans_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435332K) : heatres_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435460K) : pempoly_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435460K) : fbe_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435588K) : empoly_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435716K) : ldmos_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435716K) : pbiwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435844K) : digisub_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435972K) : nodrc_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435972K) : text_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436100K) : via4_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436228K) : metal5_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436228K) : metal5_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436356K) : metal5_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436484K) : metal5_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436484K) : metal5_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436612K) : metal5_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436612K) : metal5_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436740K) : metal5_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436868K) : metal5_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436868K) : metal5_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436996K) : metal5_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437124K) : metal5_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437252K) : radhard_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437252K) : memcap_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437380K) : varicap_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437508K) : flash_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437636K) : intbondvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437764K) : intbondmet_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437764K) : devbondvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437892K) : devbondmet_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438020K) : devtrench_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438020K) : redist_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438148K) : graphbot_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438276K) : graphtop_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438276K) : antvia1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438404K) : antmetal2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438532K) : graphcont_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438660K) : siwg_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438788K) : siwg_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438788K) : siwg_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438916K) : sigrating_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439044K) : singrating_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439044K) : graphpas_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439172K) : emwind3_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439300K) : emwihv3_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439428K) : redbulay_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439428K) : smos_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439556K) : graphpad_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439684K) : polimide_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439812K) : polimide_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439940K) : recog_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (439940K) : recog_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440068K) : recog_esd has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440196K) : recog_diode has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440324K) : recog_tsv has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440452K) : recog_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440452K) : recog_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440580K) : recog_pillar has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440708K) : recog_sbump has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440836K) : recog_otp has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440964K) : recog_pdiode has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (440964K) : recog_mom has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441092K) : recog_pcm has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441220K) : colopen_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441220K) : graphmetal1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441348K) : graphmetal1_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441476K) : graphmetal1_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441476K) : graphmetal1_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441604K) : graphmetal1_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441732K) : graphmet1l_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441988K) : graphmet1l_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (441988K) : graphmet1l_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442116K) : graphmet1l_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442244K) : graphmet1l_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442372K) : extblock_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442500K) : nldd_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442500K) : pldd_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442628K) : next_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442628K) : pext_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442756K) : nexthv_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442884K) : pexthv_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (442884K) : graphgate_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443012K) : sinwg_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443140K) : sinwg_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443140K) : sinwg_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443268K) : mempad_drw has 0 polygons
